purchase_id,purchase_date,product_code,quantity,amount
1,2025-01-09,1,3,717
2,2025-01-09,2,4,956
3,2025-01-09,3,2,458
4,2025-01-09,4,6,1314
5,2025-01-09,5,2,438
6,2025-01-09,6,4,876
7,2025-01-09,7,4,876
8,2025-01-09,8,6,1314
9,2025-01-09,9,10,690
10,2025-01-09,10,24,1800
11,2025-01-09,11,24,2000
12,2025-07-09,12,2,256
13,2025-07-09,13,12,1776
14,2025-07-09,14,10,578
15,2025-07-09,15,2,416
16,2025-07-09,7,2,416
17,2025-07-09,4,2,416
18,2025-07-09,16,10,328
19,2025-07-09,17,20,1074
20,2025-07-09,18,20,1074
21,2025-07-09,19,20,796
22,2025-07-09,20,2,456
23,2025-07-09,21,1,228
24,2025-07-09,1,1,228
25,2025-07-09,2,2,456
26,2025-10-03,22,24,1130
27,2025-10-03,23,24,1620
28,2025-10-03,24,8,944
29,2025-10-03,25,4,472
30,2025-10-03,26,11,2068
31,2025-10-03,27,1,228
32,2025-10-03,20,2,456
33,2025-10-03,2,1,228
34,2025-10-03,28,2,456
35,2025-10-03,21,2,456
36,2025-10-03,29,1,228
37,2025-10-03,5,5,1040
38,2025-10-03,4,1,208
39,2025-10-03,15,2,416
40,2025-10-03,8,3,624
41,2025-10-03,7,3,624
42,2025-10-03,18,10,548
43,2025-10-03,17,20,1096
44,2025-10-03,19,30,1194
45,2025-10-03,30,5,238
46,2025-10-03,31,5,238
47,2025-10-03,32,8,298
48,2025-12-05,13,6,768
49,2025-12-05,24,6,828
50,2025-12-05,33,3,594
51,2025-12-05,34,2,416
52,2025-12-05,7,3,624
53,2025-12-05,6,3,624
54,2025-12-05,15,3,624
55,2025-12-05,8,3,624
56,2025-12-05,5,3,624
57,2025-12-05,17,30,1734
58,2025-12-05,18,30,1734
59,2025-12-05,19,30,1194
60,2025-12-05,28,3,594
61,2025-12-05,35,3,594
62,2025-12-05,21,3,594
63,2025-12-05,2,3,594
64,2025-12-05,20,3,594
65,2025-12-05,22,24,1130
66,2025-12-05,26,24,4260
67,2025-12-05,36,24,2820
68,2025-12-05,23,24,1620
69,2025-12-05,37,24,2110
70,2026-05-12,38,24,1620
71,2026-05-12,22,48,2260
72,2026-05-12,23,24,1300
73,2026-05-12,2,3,594
74,2026-05-12,35,2,396
75,2026-05-12,21,3,594
76,2026-05-12,39,1,198
77,2026-05-12,20,3,594
78,2026-05-12,27,2,396
79,2026-05-12,28,2,396
80,2026-05-12,40,14,796
81,2026-05-12,41,18,656
82,2026-05-12,19,8,398
83,2026-05-12,15,4,1032
84,2026-05-12,8,4,1032
85,2026-05-12,34,2,516
86,2026-05-12,6,5,1290
87,2026-05-12,5,2,516
88,2026-05-12,42,6,388
89,2026-05-12,43,6,458
90,2026-05-12,44,6,388
91,2026-05-12,45,4,792
92,2026-05-12,46,2,196
93,2026-05-12,47,2,196
94,2026-05-12,48,4,832
